index,mean_top_third,mse,good_obs
close_gauss,0.04725073251526808,0.0018291795714063868,0.30144391408114574
close_gauss_res,0.045043263672975044,0.0018929204959552783,0.30144391408114574
close_npmle,0.047320313565880304,0.0018275762813382737,0.30144391408114574
close_npmle_res,0.045048901582113915,0.001888723152575148,0.30144391408114574
indep_gauss_flexible,0.04205663537760195,,0.30144391408114574
naive,0.0395346588617484,0.0021008859336128245,0.30144391408114574
